ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior
18961,variable,WRO1258WAP-NVY,Impermeable Ligero Para Mujer Azul Marino,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18960,variable,WRO1258WAP-DOV,Impermeable Ligero Para Mujer Verde Oliva,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18958,variable,WRO1227SBC-BLK,Abrigo Impermeable de Algodon Original Mujer Negro,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18959,variable,WRO1227SBC-DOV,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 2,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18955,variable,WRO1190SBC-DOV,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 1,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18957,variable,WRO1208WAP-NVY,Abrigo Impermeable de Algodon Original Mujer Azul Marino,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18956,variable,WRO1208WAP-FSE,Abrigo Impermeable de Algodon Original Mujer Celeste,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18524,variable,WFS2006RMA-BLK,Botas Chelsea Original Para Mujer Negro 2,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18928,variable,WFF1077NRE-BLK,ZAP SHERPA NEGRO,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Accesorios, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatos",Hunter,Hunter,
18930,variable,WFS1043RMA-BLK,Botas Chelsea Original Para Mujer Negro 1,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18931,variable,WFS1043RMA-MLR,Botas Chelsea Original Para Mujer Rojo Militar,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18951,variable,WFT2052NRE-NVY,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18942,variable,WFT1071RGL-BLK,Botas Original Refined y Brillante Para Mujer Negro,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18934,variable,WFS1071RMA-NYG,BOTINES HUNTER WFS1071R AZUL 4,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18935,variable,WFS1071RMA-RDG,BOTINES HUNTER WFS1071R ROJO 6,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18927,variable,WAS1017AAC-WHT,CALCETIN CAR BOTA CORTA BLANCO,,,1,"Invierno, winter-style, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
18618,variable,WAS1017AAC-BLK,CALCETIN CAR BOTA CORTA NEGRO,,,1,"Invierno, winter-style, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
18586,simple,UZC3011XXX-CLR,HUNTER ABRILLANTADOR BOT MISCEL,3594,5990,1,Ofertas,"Tipo de producto > Accesorios, Tipo de producto",Hunter,Hunter,
18926,variable,WAS1017AAC-RED,CALCETIN BOTA CORTA ROJO,,,1,"Invierno, winter-style, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
18619,variable,UAS3000AAA-CRM,HUNTER CALCETIN BOTA CREMA,,,1,"Invierno, winter-style, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
18954,variable,WRO1185VAD-DSL,Impermeable De Vinilo Original Mujer Gris,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18953,variable,WRO1123SBD-BLK,Smock Impermeable Original Pleglable Mujer Negro,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
