ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
19197,variation,WFT2052NRE-NVY40/41,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 40/41,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
19198,variation,WFT2052NRE-NVY42,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 42,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
19199,variation,WFT2052NRE-NVY36,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 36,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
19206,variation,WRO1123SBD-BLKL,Smock Impermeable Original Pleglable Mujer Negro - L,127492,149990,1,,,Hunter,,WRO1123SBD-BLK,Chaquetas 15% off
19207,variation,WRO1123SBD-BLKM,Smock Impermeable Original Pleglable Mujer Negro - M,127492,149990,1,,,Hunter,,WRO1123SBD-BLK,Chaquetas 15% off
19208,variation,WRO1123SBD-BLKS,Smock Impermeable Original Pleglable Mujer Negro - S,127492,149990,1,,,Hunter,,WRO1123SBD-BLK,Chaquetas 15% off
19209,variation,WRO1123SBD-BLKXS,Smock Impermeable Original Pleglable Mujer Negro - XS,127492,149990,1,,,Hunter,,WRO1123SBD-BLK,Chaquetas 15% off
19210,variation,WRO1185VAD-DSLL,Impermeable De Vinilo Original Mujer Gris - L,127492,149990,1,,,Hunter,,WRO1185VAD-DSL,Chaquetas 15% off
19211,variation,WRO1185VAD-DSLM,Impermeable De Vinilo Original Mujer Gris - M,127492,149990,1,,,Hunter,,WRO1185VAD-DSL,Chaquetas 15% off
19212,variation,WRO1185VAD-DSLS,Impermeable De Vinilo Original Mujer Gris - S,127492,149990,1,,,Hunter,,WRO1185VAD-DSL,Chaquetas 15% off
19213,variation,WRO1185VAD-DSLXS,Impermeable De Vinilo Original Mujer Gris - XS,127492,149990,1,,,Hunter,,WRO1185VAD-DSL,Chaquetas 15% off
19214,variation,WRO1190SBC-DOVL,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 1 - L,203992,239990,1,,,Hunter,,WRO1190SBC-DOV,Chaquetas 15% off
19215,variation,WRO1190SBC-DOVM,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 1 - M,203992,239990,1,,,Hunter,,WRO1190SBC-DOV,Chaquetas 15% off
19216,variation,WRO1190SBC-DOVS,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 1 - S,203992,239990,1,,,Hunter,,WRO1190SBC-DOV,Chaquetas 15% off
19217,variation,WRO1190SBC-DOVXS,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 1 - XS,203992,239990,1,,,Hunter,,WRO1190SBC-DOV,Chaquetas 15% off
19218,variation,WRO1208WAP-FSEL,Abrigo Impermeable de Algodon Original Mujer Celeste - L,127492,149990,1,,,Hunter,,WRO1208WAP-FSE,Chaquetas 15% off
19219,variation,WRO1208WAP-FSEM,Abrigo Impermeable de Algodon Original Mujer Celeste - M,127492,149990,1,,,Hunter,,WRO1208WAP-FSE,Chaquetas 15% off
19220,variation,WRO1208WAP-FSES,Abrigo Impermeable de Algodon Original Mujer Celeste - S,127492,149990,1,,,Hunter,,WRO1208WAP-FSE,Chaquetas 15% off
